Asset A,Asset B,Normal SDD,SDD,Dummy Same Sector
BTC,MDLZ,286655.4309373403,172.84648265829313,0
BTC,MPWR,36568.753087941834,28.0700423727639,0
BTC,MNST,39411.00240761928,73.118443885844,0
BTC,MCO,inf,138.6218322495884,0
BTC,MS,59331.881432183116,44.40035115048879,0
BTC,MOS,147204.83420138835,49.92450391504249,0
BTC,MSI,299663.6879824428,167.35105623256027,0
BTC,MSCI,256356.73484864016,125.17968691315136,0
BTC,NDAQ,42529.94275969746,107.99831814345356,0
BTC,NTAP,inf,85.39255986948201,0
BTC,NFLX,233496.7009549102,127.53217582661195,0
BTC,NWL,87823.83802513781,35.09563515402896,0
BTC,NEM,309213.77845608245,204.28100586038593,0
BTC,NWSA,inf,61.603273057420175,0
BTC,NWS,inf,42.67541159157628,0
BTC,NEE,317936.4218583829,413.22702293124735,0
BTC,NLSN,inf,58.33983699022492,0
BTC,NKE,151709.38437638702,70.00528068605884,0
BTC,NI,319496.9807036929,253.7823534289068,0
BTC,NDSN,inf,108.514491325343,0
BTC,NSC,inf,55.484431625926874,0
BTC,NTRS,272391.1208626273,137.58352929092126,0
BTC,NOC,317502.09611560276,239.72219750852378,0
BTC,NLOK,299231.9453935179,181.88819356918754,0
BTC,NCLH,96684.0528273804,57.89206607809061,0
BTC,NRG,282273.5247912529,151.90781120767247,0
BTC,NUE,inf,67.39857515576301,0
BTC,NVDA,249431.8825583632,15.233039493424759,0
BTC,NVR,130947.49817255902,56.012751135978455,0
BTC,NXPI,338066.4294477954,33.57000118849304,0
BTC,ORLY,inf,115.71330927907965,0
BTC,OXY,290082.397685768,120.51253905222461,0
BTC,ODFL,inf,42.28242884812224,0
BTC,OMC,276144.68625690497,133.78364346684958,0
BTC,OKE,257681.17147928078,104.5820578148996,0
BTC,ORCL,179501.11436631915,140.1652063886011,0
BTC,OTIS,inf,85.56307629769323,0
BTC,PCAR,878183.9081993867,88.9479283213281,0
BTC,PKG,inf,73.64110369851034,0
BTC,PARA,68588662.43083641,346.4986171285057,0
BTC,PH,134452897.02415606,27.487204701738975,0
BTC,PAYX,250754.1740287318,107.34423632199814,0
BTC,PAYC,72055.42476056174,43.101733815739564,0
BTC,PYPL,inf,18.656170409671805,0
BTC,PENN,inf,3990.150460547244,0
BTC,PNR,inf,26.94498639294691,0
BTC,PBCT,274657.7724622765,133.68208533728833,0
BTC,PEP,290883.2074765988,188.08166916468522,0
BTC,PKI,inf,56.12485810389322,0
BTC,PFE,308257.408609957,201.3352402910683,0
BTC,PM,286111.34828397556,163.67598565004232,0
BTC,PSX,299115.11077854387,154.16297574284823,0
BTC,PNW,307646.93891654856,200.57612639510353,0
BTC,PXD,171919.91703258755,81.31342608562878,0
BTC,PNC,113771.05243452496,88.1910396340485,0
BTC,POOL,inf,21.938240956685284,0
BTC,PPG,201246.52320984396,58.99026101602676,0
BTC,PPL,270768.9133224143,165.54189071834588,0
BTC,PFG,inf,38.05072692043442,0
BTC,PG,280403.3246835364,158.42913331291203,0
BTC,PGR,295078.4815069746,161.0813621307836,0
BTC,PLD,267274.5057525122,145.99103067555222,0
BTC,PRU,173754.85823250265,75.40767701712161,0
BTC,PEG,295417.61754523416,163.58736069201956,0
BTC,PTC,59723.94690467478,42.76216581496553,0
BTC,PSA,279455.69387928647,141.97361887097637,0
BTC,PHM,1093213.8966666793,12.60477739637663,0
BTC,PVH,inf,51.32255581096536,0
BTC,QRVO,1202164.4671674483,27.392471430693384,0
BTC,PWR,150525.81998267153,38.80389426732408,0
BTC,QCOM,240343.04887534244,28.09244654345267,0
BTC,DGX,inf,129.2269161456183,0
BTC,RL,170973.1108691282,93.72024363573404,0
BTC,RJF,162588.89922025325,66.52956645911257,0
BTC,RTX,303854.642128428,181.73648423162345,0
BTC,O,141050.93655354198,124.92804863889185,0
BTC,REG,201633.3223791466,106.81129455753083,0
BTC,REGN,313119.83465838013,224.87209910748567,0
BTC,RF,89522.73392445222,46.495187204713964,0
BTC,RSG,186289.86774035258,131.87275760189078,0
BTC,RMD,245775.53290481213,136.415660959865,0
BTC,RHI,inf,56.46185001949242,0
BTC,ROK,inf,65.5073871366613,0
BTC,ROL,289030.2015477601,144.20476808009704,0
BTC,ROP,143064.8992822991,103.85456201548914,0
BTC,ROST,221800.64439493505,114.13100980590772,0
BTC,RCL,inf,34.41211215486682,0
BTC,SPGI,inf,121.43692187068515,0
BTC,CRM,36672.33654491907,61.24924472484656,0
BTC,SBAC,314182.36593397637,232.94304628664094,0
BTC,SLB,229747.29510998758,84.43813746466839,0
BTC,STX,287876.97317005787,147.6729436032681,0
BTC,SEE,131923.2807333713,55.914342508135384,0
BTC,SRE,306250.00162453955,197.66281779036558,0
BTC,NOW,118077.17082258896,31.527071964077187,0
BTC,SHW,299901.5247034719,110.0210136720959,0
BTC,SBNY,229678.04044314753,96.07853651045086,0
BTC,SPG,81216.45309401455,55.50209579443923,0
BTC,SWKS,33969837.947504215,29.772214858501915,0
BTC,SJM,311548.92835465696,212.05546706735254,0
BTC,SNA,107300222.49921985,55.63421903815757,0
BTC,SEDG,inf,156.8812454260466,0
BTC,SO,306532.5520965556,197.20732026940686,0
BTC,LUV,267728.9182050254,60.92601701008569,0
BTC,SWK,138138.01296652446,38.14307636557384,0
BTC,SBUX,263242.28667164093,124.87101124871603,0
BTC,STT,260016.41302154138,121.76040644584803,0
BTC,STE,271505.56761253823,137.54433055724172,0
BTC,SYK,235210.04572159686,125.0264985939678,0
